block_item_id,block_id,item_id,position,is_active
bi0001,b001,v0001,1,True
bi0002,b001,v0002,2,True
bi0003,b001,v0003,3,True
bi0004,b001,v0004,4,True
bi0005,b001,v0005,5,True
bi0006,b001,v0006,6,True
bi0007,b001,v0007,7,True
bi0008,b001,v0008,8,True
bi0009,b001,v0009,9,True
bi0010,b001,v0010,10,True
bi0011,b001,v0011,11,True
bi0012,b001,v0012,12,True
bi0013,b001,v0013,13,True
bi0014,b001,v0014,14,True
bi0015,b001,v0015,15,True
bi0016,b001,v0016,16,True
bi0017,b001,v0017,17,True
bi0018,b001,v0018,18,True
bi0019,b001,v0019,19,True
bi0020,b001,v0020,20,True
bi0021,b001,v0021,21,True
bi0022,b001,v0022,22,True
bi0023,b001,v0023,23,True
bi0024,b001,v0024,24,True
bi0025,b001,v0025,25,True
bi0026,b002,v0026,1,True
bi0027,b002,v0027,2,True
bi0028,b002,v0028,3,True
bi0029,b002,v0029,4,True
bi0030,b002,v0030,5,True
bi0031,b002,v0031,6,True
bi0032,b002,v0032,7,True
bi0033,b002,v0033,8,True
bi0034,b002,v0034,9,True
bi0035,b002,v0035,10,True
bi0036,b002,v0036,11,True
bi0037,b002,v0037,12,True
bi0038,b002,v0038,13,True
bi0039,b002,v0039,14,True
bi0040,b002,v0040,15,True
bi0041,b002,v0041,16,True
bi0042,b002,v0042,17,True
bi0043,b002,v0043,18,True
bi0044,b002,v0044,19,True
bi0045,b002,v0045,20,True
bi0046,b002,v0046,21,True
bi0047,b002,v0047,22,True
bi0048,b003,v0048,1,True
bi0049,b003,v0049,2,True
bi0050,b003,v0050,3,True
bi0051,b003,v0051,4,True
bi0052,b003,v0052,5,True
bi0053,b003,v0053,6,True
bi0054,b003,v0054,7,True
bi0055,b003,v0055,8,True
bi0056,b003,v0056,9,True
bi0057,b003,v0036,10,True
bi0058,b003,v0057,11,True
bi0059,b003,v0058,12,True
bi0060,b003,v0059,13,True
bi0061,b003,v0060,14,True
bi0062,b003,v0061,15,True
bi0063,b003,v0062,16,True
bi0064,b003,v0063,17,True
bi0065,b003,v0064,18,True
bi0066,b003,v0065,19,True
bi0067,b003,v0066,20,True
bi0068,b003,v0067,21,True
bi0069,b003,v0068,22,True
bi0070,b003,v0069,23,True
bi0071,b003,v0070,24,True
bi0072,b003,v0071,25,True
bi0073,b003,v0072,26,True
bi0074,b003,v0073,27,True
bi0075,b003,v0074,28,True
bi0076,b003,v0075,29,True
bi0077,b003,v0076,30,True
bi0078,b003,v0077,31,True
bi0079,b003,v0078,32,True
bi0080,b003,v0079,33,True
bi0081,b003,v0080,34,True
bi0082,b003,v0081,35,True
bi0083,b003,v0082,36,True
bi0084,b003,v0083,37,True
bi0085,b003,v0084,38,True
bi0086,b003,v0085,39,True
bi0087,b003,v0086,40,True
bi0088,b003,v0044,41,True
bi0089,b003,v0087,42,True
bi0090,b004,v0088,1,True
bi0091,b004,v0089,2,True
bi0092,b004,v0090,3,True
bi0093,b004,v0091,4,True
bi0094,b004,v0092,5,True
bi0095,b004,v0093,6,True
bi0096,b004,v0094,7,True
bi0097,b004,v0095,8,True
bi0098,b004,v0096,9,True
bi0099,b004,v0097,10,True
bi0100,b004,v0098,11,True
bi0101,b004,v0099,12,True
bi0102,b004,v0100,13,True
bi0103,b004,v0101,14,True
bi0104,b004,v0102,15,True
bi0105,b004,v0103,16,True
bi0106,b004,v0104,17,True
bi0107,b004,v0105,18,True
bi0108,b004,v0106,19,True
bi0109,b004,v0107,20,True
bi0110,b004,v0108,21,True
bi0111,b004,v0109,22,True
bi0112,b004,v0110,23,True
bi0113,b004,v0111,24,True
bi0114,b004,v0112,25,True
bi0115,b004,v0113,26,True
bi0116,b004,v0114,27,True
bi0117,b004,v0115,28,True
bi0118,b004,v0116,29,True
bi0119,b004,v0117,30,True
bi0120,b004,v0118,31,True
bi0121,b004,v0119,32,True
bi0122,b004,v0120,33,True
bi0123,b004,v0121,34,True
bi0124,b004,v0122,35,True
bi0125,b004,v0123,36,True
bi0126,b004,v0124,37,True
bi0127,b004,v0125,38,True
bi0128,b004,v0126,39,True
bi0129,b004,v0127,40,True
bi0130,b005,v0128,1,True
bi0131,b005,v0129,2,True
bi0132,b005,v0130,3,True
bi0133,b005,v0131,4,True
bi0134,b005,v0132,5,True
bi0135,b005,v0133,6,True
bi0136,b005,v0134,7,True
bi0137,b005,v0135,8,True
bi0138,b005,v0136,9,True
bi0139,b005,v0137,10,True
bi0140,b005,v0138,11,True
bi0141,b005,v0139,12,True
bi0142,b005,v0140,13,True
bi0143,b005,v0141,14,True
bi0144,b005,v0142,15,True
bi0145,b005,v0143,16,True
bi0146,b005,v0144,17,True
bi0147,b005,v0045,18,True
bi0148,b005,v0145,19,True
bi0149,b005,v0146,20,True
bi0150,b005,v0147,21,True
bi0151,b005,v0148,22,True
bi0152,b005,v0149,23,True
bi0153,b005,v0150,24,True
bi0154,b005,v0151,25,True
bi0155,b005,v0152,26,True
bi0156,b005,v0153,27,True
bi0157,b005,v0017,28,True
bi0158,b005,v0154,29,True
bi0159,b005,v0155,30,True
bi0160,b005,v0156,31,True
bi0161,b005,v0157,32,True
bi0162,b005,v0158,33,True
bi0163,b005,v0159,34,True
bi0164,b005,v0160,35,True
bi0165,b005,v0161,36,True
bi0166,b005,v0162,37,True
bi0167,b005,v0163,38,True
bi0168,b005,v0164,39,True
bi0169,b005,v0165,40,True
bi0170,b005,v0166,41,True
bi0171,b005,v0167,42,True
bi0172,b005,v0168,43,True
bi0173,b005,v0169,44,True
bi0174,b005,v0170,45,True
bi0175,b005,v0171,46,True
bi0176,b005,v0172,47,True
bi0177,b005,v0173,48,True
bi0178,b005,v0174,49,True
bi0179,b005,v0175,50,True
bi0180,b005,v0176,51,True
bi0181,b005,v0177,52,True
bi0182,b005,v0178,53,True
bi0183,b005,v0179,54,True
bi0184,b005,v0180,55,True
bi0185,b005,v0181,56,True
bi0186,b005,v0182,57,True
bi0187,b005,v0183,58,True
bi0188,b005,v0184,59,True
bi0189,b005,v0185,60,True
bi0190,b005,v0186,61,True
bi0191,b005,v0187,62,True
bi0192,b005,v0188,63,True
bi0193,b005,v0189,64,True
bi0194,b006,v0190,1,True
bi0195,b006,v0191,2,True
bi0196,b006,v0192,3,True
bi0197,b006,v0193,4,True
bi0198,b006,v0194,5,True
bi0199,b006,v0195,6,True
bi0200,b006,v0196,7,True
bi0201,b006,v0197,8,True
bi0202,b006,v0198,9,True
