item_id,topic_id,spanish,russian,item_type,gender,number,tags,example_es,example_ru,accepted_answers_es,accepted_answers_ru,explanation,status
v0001,general_library,último,последний,word,,,tekst_o_messi,,,último,последний,Импортировано из блока «Текст о Месси»,active
v0002,general_library,aficionado,любитель,word,,,tekst_o_messi,,,aficionado,любитель,Импортировано из блока «Текст о Месси»,active
v0003,general_library,patrimonio,наследие,word,,,tekst_o_messi,,,patrimonio,наследие,Импортировано из блока «Текст о Месси»,active
v0004,general_library,origen,происхождение,word,,,tekst_o_messi,,,origen,происхождение,Импортировано из блока «Текст о Месси»,active
v0005,general_library,humilde,скромный,word,,,tekst_o_messi,,,humilde,скромный,Импортировано из блока «Текст о Месси»,active
v0006,general_library,apodar,прозвать,word,,,tekst_o_messi,,,apodar,прозвать,Импортировано из блока «Текст о Месси»,active
v0007,general_library,poseer,обладать,word,,,tekst_o_messi,,,poseer,обладать,Импортировано из блока «Текст о Месси»,active
v0008,general_library,condición,качество,word,,,tekst_o_messi,,,condición,качество,Импортировано из блока «Текст о Месси»,active
v0009,general_library,crecimiento,рост,word,,,tekst_o_messi,,,crecimiento,рост,Импортировано из блока «Текст о Месси»,active
v0010,general_library,peso,масса,word,,,tekst_o_messi,,,peso,масса,Импортировано из блока «Текст о Месси»,active
v0011,general_library,esfuerzo,старание,word,,,tekst_o_messi,,,esfuerzo,старание,Импортировано из блока «Текст о Месси»,active
v0012,general_library,merecer,заслуживать,word,,,tekst_o_messi,,,merecer,заслуживать,Импортировано из блока «Текст о Месси»,active
v0013,general_library,impedimento,препятствие,word,,,tekst_o_messi,,,impedimento,препятствие,Импортировано из блока «Текст о Месси»,active
v0014,general_library,zurdo,левша,word,,,tekst_o_messi,,,zurdo,левша,Импортировано из блока «Текст о Месси»,active
v0015,general_library,diestro,правша,word,,,tekst_o_messi,,,diestro,правша,Импортировано из блока «Текст о Месси»,active
v0016,general_library,ostentoso,роскошный,word,,,tekst_o_messi,,,ostentoso,роскошный,Импортировано из блока «Текст о Месси»,active
v0017,general_library,sorprender,удивить,word,,,tekst_o_messi,,,sorprender,удивить,Импортировано из блока «Текст о Месси»,active
v0018,general_library,destacar,подчеркнуть,word,,,tekst_o_messi,,,destacar,подчеркнуть,Импортировано из блока «Текст о Месси»,active
v0019,general_library,ventaja,преимущество,word,,,tekst_o_messi,,,ventaja,преимущество,Импортировано из блока «Текст о Месси»,active
v0020,general_library,dejar,оставить,word,,,tekst_o_messi,,,dejar,оставить,Импортировано из блока «Текст о Месси»,active
v0021,general_library,salud,здоровье,word,,,tekst_o_messi,,,salud,здоровье,Импортировано из блока «Текст о Месси»,active
v0022,general_library,encarar,противостоять,word,,,tekst_o_messi,,,encarar,противостоять,Импортировано из блока «Текст о Месси»,active
v0023,general_library,apasionar,увлечь,word,,,tekst_o_messi,,,apasionar,увлечь,Импортировано из блока «Текст о Месси»,active
v0024,general_library,perseverancia,настойчивость,word,,,tekst_o_messi,,,perseverancia,настойчивость,Импортировано из блока «Текст о Месси»,active
v0025,general_library,lograr,достигнуть,word,,,tekst_o_messi,,,lograr,достигнуть,Импортировано из блока «Текст о Месси»,active
v0026,general_library,oler,пахнуть,word,,,novye_slova_aprel,,,oler,пахнуть,Импортировано из блока «Новые слова апрель»,active
v0027,general_library,suerte,удача,word,,,novye_slova_aprel,,,suerte,удача,Импортировано из блока «Новые слова апрель»,active
v0028,general_library,nena,детка,word,,,novye_slova_aprel,,,nena,детка,Импортировано из блока «Новые слова апрель»,active
v0029,general_library,gorra,кепка,word,,,novye_slova_aprel,,,gorra,кепка,Импортировано из блока «Новые слова апрель»,active
v0030,general_library,diseño,дизайн,word,,,novye_slova_aprel,,,diseño,дизайн,Импортировано из блока «Новые слова апрель»,active
v0031,general_library,calidad,качество,word,,,novye_slova_aprel,,,calidad,качество,Импортировано из блока «Новые слова апрель»,active
v0032,general_library,pertenecer,принадлежать,word,,,novye_slova_aprel,,,pertenecer,принадлежать,Импортировано из блока «Новые слова апрель»,active
v0033,general_library,dirigir,направлять,word,,,novye_slova_aprel,,,dirigir,направлять,Импортировано из блока «Новые слова апрель»,active
v0034,general_library,hogar,дом,word,,,novye_slova_aprel,,,hogar,дом,Импортировано из блока «Новые слова апрель»,active
v0035,general_library,tratar de,пытаться что-то сделать,phrase,,,novye_slova_aprel,,,tratar de,пытаться что-то сделать,Импортировано из блока «Новые слова апрель»,active
v0036,general_library,cita,свидание,word,,,novye_slova_aprel,,,cita,свидание,Импортировано из блока «Новые слова апрель»,active
v0037,general_library,justo,справедливо,word,,,novye_slova_aprel,,,justo,справедливо,Импортировано из блока «Новые слова апрель»,active
v0038,general_library,acabar,закончить,word,,,novye_slova_aprel,,,acabar,закончить,Импортировано из блока «Новые слова апрель»,active
v0039,general_library,bajar,опустить,word,,,novye_slova_aprel,,,bajar,опустить,Импортировано из блока «Новые слова апрель»,active
v0040,general_library,chocar,врезаться,word,,,novye_slova_aprel,,,chocar,врезаться,Импортировано из блока «Новые слова апрель»,active
v0041,general_library,dimitir,уйти,word,,,novye_slova_aprel,,,dimitir,уйти,Импортировано из блока «Новые слова апрель»,active
v0042,general_library,ganar,выиграть,word,,,novye_slova_aprel,,,ganar,выиграть,Импортировано из блока «Новые слова апрель»,active
v0043,general_library,morir,умереть,word,,,novye_slova_aprel,,,morir,умереть,Импортировано из блока «Новые слова апрель»,active
v0044,general_library,subir,подняться,word,,,novye_slova_aprel,,,subir,подняться,Импортировано из блока «Новые слова апрель»,active
v0045,general_library,perder,проиграть,word,,,novye_slova_aprel,,,perder,проиграть,Импортировано из блока «Новые слова апрель»,active
v0046,general_library,mostrar,показать,word,,,novye_slova_aprel,,,mostrar,показать,Импортировано из блока «Новые слова апрель»,active
v0047,general_library,enviar,отправить,word,,,novye_slova_aprel,,,enviar,отправить,Импортировано из блока «Новые слова апрель»,active
v0048,general_library,pastel,десерт,word,,,lola_lago_5,,,pastel,десерт,Импортировано из блока «Lola Lago 5»,active
v0049,general_library,madrugar,просыпаться рано,word,,,lola_lago_5,,,madrugar,просыпаться рано,Импортировано из блока «Lola Lago 5»,active
v0050,general_library,manzana,яблоко,word,,,lola_lago_5,,,manzana,яблоко,Импортировано из блока «Lola Lago 5»,active
v0051,general_library,dinero,деньги,word,,,lola_lago_5,,,dinero,деньги,Импортировано из блока «Lola Lago 5»,active
v0052,general_library,árbol,дерево,word,,,lola_lago_5,,,árbol,дерево,Импортировано из блока «Lola Lago 5»,active
v0053,general_library,ofrecer,предлагать,word,,,lola_lago_5,,,ofrecer,предлагать,Импортировано из блока «Lola Lago 5»,active
v0054,general_library,barato,дешевый,word,,,lola_lago_5,,,barato,дешевый,Импортировано из блока «Lola Lago 5»,active
v0055,general_library,enseguida,тотчас,word,,,lola_lago_5,,,enseguida,тотчас,Импортировано из блока «Lola Lago 5»,active
v0056,general_library,salir,выйти,word,,,lola_lago_5,,,salir,выйти,Импортировано из блока «Lola Lago 5»,active
v0057,general_library,oscuro,темный,word,,,lola_lago_5,,,oscuro,темный,Импортировано из блока «Lola Lago 5»,active
v0058,general_library,luminoso,светлый,word,,,lola_lago_5,,,luminoso,светлый,Импортировано из блока «Lola Lago 5»,active
v0059,general_library,tomar,взять,word,,,lola_lago_5,,,tomar,взять,Импортировано из блока «Lola Lago 5»,active
v0060,general_library,ley,закон,word,,,lola_lago_5,,,ley,закон,Импортировано из блока «Lola Lago 5»,active
v0061,general_library,nadie,никто,word,,,lola_lago_5,,,nadie,никто,Импортировано из блока «Lola Lago 5»,active
v0062,general_library,peligros,опасность,word,,,lola_lago_5,,,peligros,опасность,Импортировано из блока «Lola Lago 5»,active
v0063,general_library,peligroso,опасный,word,,,lola_lago_5,,,peligroso,опасный,Импортировано из блока «Lola Lago 5»,active
v0064,general_library,sonrisa,улыбка,word,,,lola_lago_5,,,sonrisa,улыбка,Импортировано из блока «Lola Lago 5»,active
v0065,general_library,entonces,тогда,word,,,lola_lago_5,,,entonces,тогда,Импортировано из блока «Lola Lago 5»,active
v0066,general_library,alguien,кто-то,word,,,lola_lago_5,,,alguien,кто-то,Импортировано из блока «Lola Lago 5»,active
v0067,general_library,esconder,прятать,word,,,lola_lago_5,,,esconder,прятать,Импортировано из блока «Lola Lago 5»,active
v0068,general_library,mientras,тем временем,word,,,lola_lago_5,,,mientras,тем временем,Импортировано из блока «Lola Lago 5»,active
v0069,general_library,matar,убить,word,,,lola_lago_5,,,matar,убить,Импортировано из блока «Lola Lago 5»,active
v0070,general_library,triste,грустный,word,,,lola_lago_5,,,triste,грустный,Импортировано из блока «Lola Lago 5»,active
v0071,general_library,colgar,повесить,word,,,lola_lago_5,,,colgar,повесить,Импортировано из блока «Lola Lago 5»,active
v0072,general_library,grave,серьезный,word,,,lola_lago_5,,,grave,серьезный,Импортировано из блока «Lola Lago 5»,active
