task_id,topic_id,instruction,prompt,keywords_required,keywords_optional,hint,error_explanation,status
o0001,ser_estar,"Напиши 1 предложение о том, где ты сейчас.",Используй estar + место.,estoy|está|estamos,,Estoy en casa ahora.,Нужно показать местоположение через estar.,active
o0002,ser_estar,Напиши 1 предложение о своём обычном качестве.,Используй ser.,soy|es|somos,,Soy una persona tranquila.,Нужно описать постоянную характеристику через ser.,active
o0003,ser_estar,Опиши своё состояние сегодня одним предложением.,Используй estar + прилагательное.,estoy|está|estamos,,Hoy estoy cansado pero motivado.,Нужно показать временное состояние через estar.,active
o0004,ser_estar,Напиши предложение о профессии или роли человека.,Используй ser.,soy|es|somos,,Mi hermana es médica.,Профессия и роль обычно требуют ser.,active
o0005,ser_estar,"Напиши, где находится какой-то предмет.",Используй estar.,está|están,,El libro está sobre la mesa.,Нужно показать местоположение предмета.,active
o0006,ser_estar,Напиши 1 предложение о национальности или происхождении.,Используй ser.,soy|eres|es|somos|son,,Soy de Rusia.,Происхождение и национальность требуют ser.,active
o0007,ser_estar,Напиши предложение про настроение сегодня.,Используй estar.,estoy|está,,Hoy estoy de buen humor.,Настроение — это временное состояние.,active
o0008,ser_estar,Опиши человека одним постоянным качеством.,Используй ser + прилагательное.,es|soy|son,,Mi amigo es muy amable.,Постоянная черта требует ser.,active
o0009,ser_estar,Напиши предложение о готовности что-то сделать.,Используй estar listo/lista.,estoy|está|estamos,,Estoy listo para salir.,Готовность выражается через estar.,active
o0010,ser_estar,"Опиши, какой предмет по материалу.",Используй ser de ...,es|son,,La mesa es de madera.,Материал — это ser.,active
o0011,ser_estar,"Напиши, где сейчас твой телефон.",Используй estar.,está,,Mi teléfono está en mi mochila.,Нужно указать местоположение.,active
o0012,ser_estar,"Напиши, какой ты обычно, но не сегодня.",Используй ser.,soy,,Soy una persona organizada.,Нужно показать постоянное качество.,active
o0013,ser_estar,"Напиши 1 предложение о том, каким кто-то является сегодня.",Используй estar + прилагательное.,está|estoy,,Mi hermano está nervioso hoy.,Сегодняшнее состояние требует estar.,active
o0014,ser_estar,Напиши 1 предложение о семейной связи.,Используй ser.,es|son,,Ana es mi prima.,Идентификация требует ser.,active
o0015,ser_estar,"Напиши, где сейчас находятся твои друзья.",Используй están.,están,,Mis amigos están en el centro.,Местоположение группы — estar.,active
o0016,ser_estar,"Сравни: какой ты обычно и какой сегодня, в одном предложении.","Используй и ser, и estar.",soy|estoy,,"Normalmente soy tranquilo, pero hoy estoy nervioso.",Нужно использовать оба глагола по назначению.,active
o0017,ser_estar,"Напиши, где проходит занятие.",Используй estar.,está|están,,La clase está en el aula 3.,Нужно указать место.,active
o0018,ser_estar,Напиши 1 предложение о важной характеристике человека.,Используй ser.,es|soy,,Mi abuelo es muy sabio.,Постоянная характеристика — ser.,active
o0019,ser_estar,Напиши предложение о состоянии еды или напитка.,Используй estar.,está,,El café está muy caliente.,Состояние еды и напитков обычно через estar.,active
o0020,ser_estar,Напиши 2 коротких части: где ты сейчас и какой ты обычно.,Используй ser и estar.,soy|estoy,,Estoy en casa y soy bastante disciplinado.,Нужно показать разницу между ser и estar.,active
o0021,preterito_perfecto,"Напиши, что ты уже сделал сегодня.",Используй Pretérito Perfecto.,he|has|ha|hemos|han,,Hoy he trabajado mucho.,"Нужно показать действие, связанное с сегодняшним днём.",active
o0022,preterito_perfecto,"Напиши 1 предложение о том, что ты уже поел сегодня.",Используй ya.,he|has|ha|hemos|han|ya,,Ya he comido.,Perfecto хорошо сочетается с ya.,active
o0023,preterito_perfecto,"Напиши, что ты ещё не сделал сегодня.",Используй todavía no.,he|has|ha|hemos|han,,Todavía no he terminado mi trabajo.,Нужно показать незавершённость в текущем периоде.,active
o0024,preterito_perfecto,Напиши 1 предложение о своём сегодняшнем опыте.,Используй hoy.,he|has|ha|hemos|han,,Hoy he hablado con mi profesor.,Сегодня — типичный контекст для perfecto.,active
o0025,preterito_perfecto,"Напиши, что ты уже посмотрел / прочитал на этой неделе.",Используй esta semana.,he|has|ha|hemos|han,,Esta semana he leído dos artículos.,Текущая неделя обычно требует perfecto.,active
o0026,preterito_perfecto,Напиши вопрос: ты уже сделал ...?,Используй has ... ya.,has|ya,,¿Has hecho la tarea ya?,Нужно составить вопрос в perfecto.,active
