task_id,topic_id,task_type,instruction,prompt,correct_answer,accepted_answers,error_explanation,status
g0001,ser_estar,multiple_choice,Выбери правильный вариант,Yo ___ en casa ahora.,estoy,estoy,Для местоположения используется estar.,active
g0002,ser_estar,multiple_choice,Выбери правильный вариант,Madrid ___ la capital de España.,es,es,Постоянный факт требует ser.,active
g0003,ser_estar,multiple_choice,Выбери правильный вариант,Nosotros ___ cansados hoy.,estamos,estamos,Временное состояние — estar.,active
g0004,ser_estar,multiple_choice,Выбери правильный вариант,Mi hermano ___ médico.,es,es,Профессия требует ser.,active
g0005,ser_estar,multiple_choice,Выбери правильный вариант,La sopa ___ fría.,está,está,Состояние предмета сейчас — estar.,active
g0006,ser_estar,multiple_choice,Выбери правильный вариант,Ellos ___ de México.,son,son,Происхождение требует ser.,active
g0007,ser_estar,multiple_choice,Выбери правильный вариант,Ana ___ nerviosa hoy.,está,está,Эмоциональное состояние сейчас — estar.,active
g0008,ser_estar,multiple_choice,Выбери правильный вариант,La mesa ___ de madera.,es,es,Материал — ser.,active
g0009,ser_estar,multiple_choice,Выбери правильный вариант,¿Dónde ___ los niños?,están,están,Местоположение — estar.,active
g0010,ser_estar,multiple_choice,Выбери правильный вариант,Mi casa ___ pequeña.,es,es,Постоянная характеристика — ser.,active
g0011,ser_estar,multiple_choice,Выбери правильный вариант,Ahora nosotros ___ en clase.,estamos,estamos,Место сейчас — estar.,active
g0012,ser_estar,multiple_choice,Выбери правильный вариант,Tú ___ muy amable.,eres,eres,Черта человека — ser.,active
g0013,ser_estar,multiple_choice,Выбери правильный вариант,El café ___ caliente.,está,está,Состояние напитка — estar.,active
g0014,ser_estar,multiple_choice,Выбери правильный вариант,Mis padres ___ profesores.,son,son,Профессия — ser.,active
g0015,ser_estar,multiple_choice,Выбери правильный вариант,La puerta ___ abierta.,está,está,Состояние объекта — estar.,active
g0016,ser_estar,multiple_choice,Выбери правильный вариант,Este edificio ___ antiguo.,es,es,Постоянное свойство — ser.,active
g0017,ser_estar,multiple_choice,Выбери правильный вариант,Nosotras ___ listas para salir.,estamos,estamos,Готовность — estar.,active
g0018,ser_estar,multiple_choice,Выбери правильный вариант,¿Tú ___ de España?,eres,eres,Происхождение / национальность — ser.,active
g0019,ser_estar,multiple_choice,Выбери правильный вариант,Los libros ___ sobre la mesa.,están,están,Расположение — estar.,active
g0020,ser_estar,multiple_choice,Выбери правильный вариант,La película ___ interesante.,es,es,Характеристика — ser.,active
g0021,ser_estar,multiple_choice,Выбери правильный вариант,Hoy yo ___ de buen humor.,estoy,estoy,Настроение — estar.,active
g0022,ser_estar,multiple_choice,Выбери правильный вариант,Mi abuelo ___ serio.,es,es,Черта характера — ser.,active
g0023,ser_estar,multiple_choice,Выбери правильный вариант,Las ventanas ___ cerradas.,están,están,Состояние предметов — estar.,active
g0024,ser_estar,multiple_choice,Выбери правильный вариант,Vosotros ___ muy rápidos.,sois,sois,Постоянное качество — ser.,active
g0025,ser_estar,multiple_choice,Выбери правильный вариант,El supermercado ___ cerrado.,está,está,Состояние сейчас — estar.,active
g0026,ser_estar,fill_form,Вставь правильную форму,Yo ___ preocupado por el examen.,estoy,estoy,Временное состояние — estar.,active
g0027,ser_estar,fill_form,Вставь правильную форму,Tú ___ mi mejor amigo.,eres,eres,Идентификация — ser.,active
g0028,ser_estar,fill_form,Вставь правильную форму,Ella ___ en el trabajo ahora.,está,está,Местоположение — estar.,active
g0029,ser_estar,fill_form,Вставь правильную форму,Nosotros ___ estudiantes.,somos,somos,Идентификация / роль — ser.,active
g0030,ser_estar,fill_form,Вставь правильную форму,Vosotras ___ ocupadas hoy.,estáis,estáis,Временное состояние — estar.,active
g0031,ser_estar,fill_form,Вставь правильную форму,Ellos ___ italianos.,son,son,Национальность — ser.,active
g0032,ser_estar,fill_form,Вставь правильную форму,Mi móvil ___ en la mochila.,está,está,Местоположение — estar.,active
g0033,ser_estar,fill_form,Вставь правильную форму,La camisa ___ limpia.,está,está,Состояние вещи — estar.,active
g0034,ser_estar,fill_form,Вставь правильную форму,Mi hermana ___ arquitecta.,es,es,Профессия — ser.,active
g0035,ser_estar,fill_form,Вставь правильную форму,Nosotras ___ en casa de Laura.,estamos,estamos,Место — estar.,active
g0036,ser_estar,fill_form,Вставь правильную форму,¿Dónde ___ tú ahora?,estás,estás,Местоположение — estar.,active
g0037,ser_estar,fill_form,Вставь правильную форму,Esta mesa ___ pesada.,es,es,Характеристика — ser.,active
g0038,ser_estar,fill_form,Вставь правильную форму,Los niños ___ en el parque.,están,están,Место — estar.,active
g0039,ser_estar,fill_form,Вставь правильную форму,Yo ___ ruso.,soy,soy,Национальность — ser.,active
g0040,ser_estar,fill_form,Вставь правильную форму,El ejercicio ___ difícil.,es,es,Характеристика — ser.,active
g0041,ser_estar,fill_form,Вставь правильную форму,Hoy nosotros ___ contentos.,estamos,estamos,Эмоциональное состояние — estar.,active
g0042,ser_estar,fill_form,Вставь правильную форму,La farmacia ___ al lado del banco.,está,está,Расположение — estar.,active
g0043,ser_estar,fill_form,Вставь правильную форму,¿Vosotros ___ listos?,estáis,estáis,Готовность — estar.,active
g0044,ser_estar,fill_form,Вставь правильную форму,Mi jefe ___ exigente.,es,es,Характеристика — ser.,active
g0045,ser_estar,fill_form,Вставь правильную форму,Las llaves ___ aquí.,están,están,Местоположение — estar.,active
g0046,ser_estar,fill_form,Вставь правильную форму,Nosotros ___ de Argentina.,somos,somos,Происхождение — ser.,active
g0047,ser_estar,fill_form,Вставь правильную форму,La tienda ___ abierta.,está,está,Состояние — estar.,active
g0048,ser_estar,fill_form,Вставь правильную форму,Tú ___ inteligente.,eres,eres,Постоянное качество — ser.,active
g0049,ser_estar,fill_form,Вставь правильную форму,Yo ___ enfermo hoy.,estoy,estoy,Состояние здоровья — estar.,active
g0050,ser_estar,fill_form,Вставь правильную форму,Ellas ___ mis primas.,son,son,Идентификация — ser.,active
